,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,total_grades,total_grade_avg
0,0,1,18,1,1,0,4,4,0,4,0,0,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6,17,5.666666666666667
1,0,1,17,1,1,1,1,1,0,2,0,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6,16,5.333333333333333
2,0,1,15,1,0,1,1,1,0,2,1,0,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10,25,8.333333333333334
3,0,1,15,1,1,1,4,2,1,3,2,0,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15,44,14.666666666666666
4,0,1,16,1,1,1,3,3,2,2,2,1,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10,26,8.666666666666666
5,0,0,16,1,0,1,4,3,3,2,3,0,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,45,15.0
6,0,0,16,1,0,1,2,2,2,2,2,0,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,35,11.666666666666666
7,0,1,17,1,1,0,4,4,2,4,2,0,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6,17,5.666666666666667
8,0,0,15,1,0,0,3,2,3,2,2,0,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19,53,17.666666666666668
9,0,0,15,1,1,1,3,4,2,2,2,0,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15,44,14.666666666666666
10,0,1,15,1,1,1,4,4,4,1,3,0,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,27,9.0
11,0,1,15,1,1,1,2,1,3,2,3,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12,34,11.333333333333334
12,0,0,15,1,0,1,4,4,1,3,0,1,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14,42,14.0
13,0,0,15,1,1,1,4,3,4,2,0,0,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,31,10.333333333333334
14,0,0,15,1,1,0,2,2,2,2,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16,46,15.333333333333334
15,0,1,16,1,1,1,4,4,1,2,2,0,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14,42,14.0
